metabolite,A002,A004,A006,A007,A011,A012,A014,A015,A016,A018,A020,A022,A024,A025,A026,A028,A030,A031,A032,A033,A035,A036,A040,A041,A042,A044,A045,A047,A050,A051,A052,A056,A057,A060,A061,A062,A063
5-Methylcytosine,0.006698951,0.013275744,0.012118813,0.018686325,0.00793541,0.011160414,0.029609223,0.044379454,0.017388278,0.016384946,0.011389616,0.00764576,0.015559407,0.019663809,0.010929877,0.010328835,0.089903402,0.006221224,0.012283824,0.024949307,0.004956121,0.017777354,0.027220826,0.0337787,0.020722124,0.024854557,0.003892686,0.038803501,0.016883506,0.004750085,0.016903269,0.018263658,0.014037519,0.04125012,0.002248513,0.002870858,0.00381257
5-Valerolactone,3.094594731,1.317572756,3.358307806,2.489511777,0.365009221,0.392164924,1.432709319,0.863743001,1.344531073,2.179340914,0.469958796,1.86612364,0.497992096,0.981519021,2.152598688,1.387087752,3.212340294,1.567615575,1.497570988,1.620587741,2.682449396,1.067466496,1.996762488,0.680402028,1.893099744,0.220321626,2.469855946,2.231280335,1.594738601,3.060121898,2.504947299,0.889252992,2.268478751,1.111735612,1.234233889,0.490880394,1.100381598
5-Deoxyadenosine,0.016954493,0.008960912,0.05825986,0.007195687,0.008612401,0.005956227,0.003822631,0.00837452,0.019488134,0.012736064,0.010676399,0.013479825,0.019558677,0.017673024,0.018008261,0.044815632,0.025326542,0.028315842,0.081094446,0.011924913,0.010114111,0.005780334,0.019953497,0.011969901,0.047574705,0.030544496,0.036612103,0.0276963,0.009282349,0.011026036,0.041729233,0.005070958,0.012022474,0.003736251,0.118057287,0.03219745,0.038623573
5(Z)-8(Z)-11(Z)-Eicosatrienoic Acid,2.88E-04,0.047864381,0.211836599,0.162589385,0.141147962,0.141099171,0.02021742,0.028149397,0.443592093,0.094974793,0.123027917,0.028793191,0.1795852,0.224473164,0.033335235,0.125732115,0.043252455,0.063836982,0.037787543,0.046944761,0.057830876,0.554785371,0.121161097,0.371310842,0.293756857,0.041659853,0.017377499,0.174249081,0.040905146,0.07615343,0.10181149,0.180349369,0.025340034,0.983105045,0.069635233,0.013736565,0.077496024
6-Carboxyhexanoate,0.001785284,0.001435714,0.00388789,0.002153455,0.002848356,0.004229383,0.002326303,0.001191456,0.002328446,0.003001555,8.17E-04,0.004484838,0.002759198,8.21E-04,0.001980411,0.001241396,0.002865849,0.005132296,0.001650001,0.001180446,0.002076456,0.001982865,0.00168885,0.001916238,3.96E-04,0.002036699,9.78E-04,0.006096901,0.001753737,0.001609595,0.001129187,0.001217514,0.001320344,9.30E-04,0.002246034,0.001236619,0.00213458
6-Hydroxynicotinate,0.00465634,0.002660144,0.004845375,0.00583187,0.002714422,0.007346026,0.003917405,0.004821611,0.008109885,0.004935401,0.001478439,0.006072791,0.002598091,0.003501328,0.003257029,0.004612667,0.008372905,0.007725543,0.005713631,0.003134946,0.012234449,0.004544194,9.28E-04,0.002650144,0.003306015,0.005155473,0.001298566,0.009924019,0.002280647,0.004660148,0.001523957,0.017960563,0.004735089,0.025873476,0.003928231,0.007531354,0.004496917
9-Decenoic acid,0.044680096,0.033808515,0.00635241,0.033915726,0.008478753,0.02665294,0.029863953,0.030602702,0.0190377,0.062780877,0.015081514,0.02015452,0.024544279,0.015591184,0.017918391,0.028122803,0.053201139,0.061555899,0.032270397,0.017683636,0.039262359,0.017460986,0.014671692,0.012431974,0.010660804,0.025434414,0.015482947,0.034193979,0.021701185,0.03134808,0.013507041,0.01806178,0.013010706,0.022582677,0.043547531,0.080061266,0.011156335
Acetaminophen,0.034201641,0.096840426,0.063229385,0.144171753,0.017808067,0.049429881,0.175426545,0.029971558,0.06030821,0.066849155,0.011298274,0.116056249,0.0558348,0.180289819,0.088995056,0.081106246,0.060587711,0.070164229,0.213729542,0.030272606,0.054888634,0.042669384,0.029594367,0.029999404,0.013503144,0.029101003,0.063124277,0.090029828,0.036218633,0.074606602,0.062813697,0.034333923,0.02671263,0.020729535,0.089655878,0.047678786,0.057730089
Acetoacetate,0.007401074,0.011055235,0.005182055,0.008877529,0.005049872,0.009964385,0.007635615,0.009661706,0.008915333,0.016874327,0.006958001,0.006765038,0.010447307,0.005337468,0.005192925,0.007200653,0.016087007,0.027733124,0.009046395,0.004003121,0.018301976,0.007541635,0.005140501,0.004332105,0.004934339,0.011509098,0.003726475,0.018220907,0.008551743,0.011287718,0.002741172,0.008663537,0.006854889,0.007965319,0.015336284,0.01096347,0.00570756
acetyl-carnitine,0.01352081,0.011654221,0.023513667,0.012458628,0.021561419,0.018072185,0.101027597,0.02666888,0.005143759,0.007564262,0.013312704,0.019586888,0.010126495,0.007278826,0.046845708,0.018900269,0.081518293,0.047568571,0.026390723,0.003685127,0.020224758,0.021444092,0.00289533,0.017992524,0.002690313,0.083847235,0.063565308,0.019204136,0.008209409,0.027364738,0.012177727,0.010859812,0.079751293,0.008091072,0.022581188,0.884607504,0.008461921
acetyl-lysine,0.115195128,0.054245452,0.120958197,0.131533325,0.200851635,0.128183381,0.059782891,0.069294064,0.211631081,0.073467613,0.038404697,0.098922133,0.051154933,0.120800345,0.057889335,0.074112692,0.107725149,0.05681386,0.128606927,0.168816978,0.479963807,0.105664796,0.076753775,0.212751077,0.189309418,0.042921294,0.092111701,0.056679112,0.068895354,0.105166408,0.077254301,0.040332764,0.127747604,0.118487937,0.047483041,0.019183623,0.078894313
Acetylcholine,0.002596996,0.013363488,0.002266388,0.00605765,0.006553414,0.067235533,0.063546047,0.04088307,0.009272831,0.031125853,0.029843,0.015651614,0.009033016,0.007160861,0.010307599,0.001411154,0.002477699,0.003918442,0.011648384,0.009751852,0.056651436,0.01424775,0.010800824,0.006806453,0.031696389,0.020505331,0.003400098,0.01218989,0.002376317,0.004797286,0.004916379,0.01825247,0.023829338,0.013171804,0.003165102,0.001274235,0.016231521
Acetylcysteine,0.003140041,0.009259207,5.94E-04,9.60E-04,3.73E-04,0.003136164,0.002410085,0.001248937,9.31E-04,0.001143436,7.03E-04,0.001638989,0.002068514,0.008292536,0.003546743,8.12E-04,0.004199035,0.008484333,0.003948563,0.001817897,0.001664043,0.00319637,0.002033998,5.51E-04,0.002065714,7.78E-04,0.003621268,0.003017314,0.004952467,0.003083836,0.003154526,5.66E-04,0.001042745,0.002799146,0.003194225,0.004778083,0.001478343
Adenine,1.237837892,0.356516352,0.97635835,1.196258906,0.251064544,0.820829716,0.03186756,0.281654254,0.388572919,0.489426323,0.035235405,0.051251958,0.31267583,0.639474513,0.164159369,0.026806311,0.247649471,0.111830255,0.428128802,0.085698328,0.395180734,0.04072524,0.225541048,0.036498393,0.174392667,0.054437415,0.070439252,0.789111338,0.378996974,0.223353739,0.031331443,0.095383198,0.166609989,0.062217588,2.079415791,0.106092945,0.030001704
Adenosine,0.446539176,0.261822034,0.371280892,0.050717005,0.026763283,0.106017071,0.023216629,0.101294956,0.023201427,0.284570764,0.025980582,0.035422183,0.117890626,0.16864237,0.070091442,0.033408711,0.088943166,0.047555174,0.077324484,0.054003955,0.049286216,0.017403514,0.078567576,0.006520039,0.041871152,0.04141741,0.043137996,0.315959873,0.075828135,0.170340037,0.099878667,0.061218743,0.110071267,0.054128967,0.103526918,2.115597465,0.027519651
Adenosine Diphosphate Ribose,0.005514503,0.002840752,1.39E-04,0,0,0.005761584,0,0.013072639,0,0.005504581,0,0,0.014366012,0,6.63E-04,1.37E-04,0,0,0,0,0,0,0,0,0,0,0,0.001314888,0.001057558,0.001596061,0,0.005123682,0,0.001506517,0,0.001932069,0
Adipate,0.002417649,0.002115958,0.006081142,0.003135727,8.56E-04,0.002532045,0.002980751,0.002944435,0.001806452,0.004332677,0.002517172,0.002835514,0.003358084,0.003584045,0.00147436,0.002090723,0.004023042,0.004579987,0.002676873,0.001194734,0.005807967,0.002257431,0.001929382,0.001823357,9.56E-04,0.006199162,0.00365081,0.004406743,0.002129622,0.004934894,0.001183986,0.001912923,0.002213455,0.00204974,0.004248398,0.001768518,0.001332141
ADP,0.002522669,6.78E-04,0,0.001197844,0,0.001372306,0.001029998,0.001261905,0,0.002001945,0,4.70E-04,0.00140997,0,0,0,0,9.31E-04,0,0,0,0,0,0,0,0,0.001249588,6.80E-04,7.75E-04,0.003262151,0,0,2.89E-04,0,5.07E-04,0.024730751,3.60E-04
Alanine,0.263768002,0.492776656,0.729971198,0.447441372,0.612211233,1.016662186,0.258706221,0.651663246,0.422959903,0.16469611,0.486594506,0.387101968,0.548125529,0.627577313,0.452014115,0.441659782,0.533684789,0.250800907,0.556101279,0.939175258,0.454917993,0.21246091,1.138051159,0.515821007,0.78586236,0.491297014,0.42008661,0.257218013,0.229366977,0.324894226,0.515240801,0.186501075,0.461440201,0.327701682,0.278741911,0.217561591,0.25178468
Aleuritic acid,0,0,0.010705215,0,0,0,0,0,0.012399389,0.020871881,0,0.015714832,0,0.011910123,0.01316137,0.004410202,0.011990709,0,0.003434192,0.011010498,0,0.007493641,0.002479851,0,0,0,0,0.008384756,0,0.005497673,0,0.003509747,0.018424487,0,0,0,0.010439189
all-cis-4,7,10,13,16-Docosapentaenoic acid,0,0,0.011648132,0.03512962,0.047894789,0.048295237,0,0.009621125,0.044378837,0.004286837,0.026051364,0,0.050333735,0.083023724,0.01120201,0.039973329,0,0,0,0.013440075,0,0.105478036,0.054900189,0.105816285,0.035484163,0.021529238,0.010717658,0.05957648,0,0,0.040178954,0.048063071,0.004361258,0.214234799,0,0.003042179,0.025222232
Allothreonine,0.018219989,0.03642218,0.052191739,0.017497976,0.026373834,0.008937632,0.008744476,0.013530403,0.014778886,0.043021789,0.00193146,0.02089679,0.027544818,0.010785841,0.019607367,0.027914382,0.025812364,0.021225077,0.014629545,0.007776316,0.03308051,0.014419056,0.003443224,0.005206556,0.012229094,0.016042572,0.018870721,0.022302151,0.005625231,0.014890673,0.013741857,0.004423172,0.015036739,0.008330265,0.019275568,0.042370765,0.006352083
aminoadipate,0.047323308,0.014328948,0.021502177,0.039817141,0.030012068,0.021671883,0.018639301,0.019488775,0.016872094,0.019793936,0.016043101,0.022507325,0.021523865,0.011937547,0.022015195,0.053734953,0.022625628,0.032801021,0.039039577,0.015579871,0.133559155,0.011795333,0.006081968,0.01089528,0.016221668,0.087280155,0.014005462,0.031635679,0.013883524,0.040093793,0.026362454,0.008286905,0.026867476,0.013480776,0.013364875,0.074127852,0.020000739
AMP,0.006624062,0.001972035,0,0.001938851,9.58E-04,0.008227735,0.001579044,0.012178019,0,0.00643192,7.92E-04,0.001741106,0.004610382,0.001191054,0.003842512,6.06E-04,6.10E-04,0.001684338,5.08E-04,0.002723683,0.001247753,8.35E-04,4.74E-04,0,2.09E-04,0,0.002576579,0.004640995,0.00408471,0.031098137,0.001479458,0.001996987,0.001269991,0.002163073,0.001187067,0.029827433,0.001080022
Aniline-2-Sulfonate,4.80E-04,3.29E-04,0,0,9.34E-04,0,0.001136126,0.004460532,0,0.001682797,0.023266869,0.001450785,9.73E-04,0.002584132,4.46E-04,7.59E-04,0,0.001880466,0.006159878,0,0.001901357,0,9.25E-04,0,0,0,0,0,0,0,0,0,0,0.020793691,0,0,0
Anserine,0.002306921,8.79E-04,0.006055925,0.007594402,0.003784011,0.001911936,0.025711966,0.030124644,0,0,0.001703176,5.78E-04,0.001981108,4.76E-04,0.006107462,0.001305017,0.001056511,0.001871714,9.54E-04,0.023610302,0.00628971,0.019158967,0,0.025009453,7.81E-04,0,9.14E-04,0.001056478,8.65E-04,0.005465113,5.83E-04,0.049450854,0.001814231,0.002154935,0,0.003138205,0.001378959
Arachidic acid,0.058376077,0.139395015,0.050968731,0.079607814,0.008110708,0.085826947,0.056724356,0.04077411,0.019267972,0.107040577,0.022232846,0.016237069,0.078536529,0.025792763,0.015097298,0.02751415,0.102849617,0.091679035,0.114469657,0.010530546,0.051845251,0.011536565,0.026357588,0.021945957,0.010815623,0.032851418,0.020725712,0.099327198,0.099832545,0.038002381,0.012714602,0.054840085,0.0220028,0.054848697,0.285316606,0.023104722,0.047735048
Arachidonic acid,0.030974107,0.201006844,0.308059996,0.067990389,0.055112665,0.07628217,0.042157359,0.045647438,0.137222197,0.062735432,0.077799612,0,0.112525737,0.350967407,0.072326415,0.102796914,0.071051022,0.109425906,0.050529959,0.086485064,0.001503892,0.101897869,0.38486821,0.108974742,0.13202638,0.063674875,0.017362731,0.201846086,0,0.053993463,0.208809182,0.100487254,0.029540772,0.123397244,0.050144232,0.118451137,0.111980187
Arginine,0.910593392,0.058050775,0.196840528,0.381092712,0.422947193,0.24611292,0.409882719,0.313836095,0.193243202,0.536782643,0.166530328,1.405983564,0.075125161,0.087182782,0.521554748,0.562426128,0.050304046,0.041695911,0.140902808,0.288388055,0.071467039,0.396275265,0.277270646,0.274970731,0.173458586,1.081715354,0.127532758,0.21734614,0.669546741,0.086793576,0.105559371,0.451070358,0.632463492,0.364453272,0.230117439,0.40044971,0.13370569
Argininosuccinate,0.004194044,0.001671868,0.00233962,0.006126578,0.002703175,0.002528589,0.001716545,0.026322241,0.002556958,0.002460508,0.002379557,0.017876679,0.002815619,0,0.002582187,0.004293243,0.002285209,4.53E-04,0.001580281,0.003244532,0.001795862,0.003945751,0.0049968,0.004043875,0.001777666,0.005500701,8.16E-04,0.002411969,0.009199671,0.001459283,4.41E-04,0.003505576,0.002623974,8.25E-04,0.001262245,0.023776447,0.00229365
Ascorbic acid,0.645821764,0.320778658,0.075691255,0.371232153,0.084146842,0.591664059,0.718234856,0.300158578,0.249505499,0.478902857,0.112365194,0.70116583,0.681814682,0.803061017,0.606900071,0.579678464,2.370204572,0.954984201,0.609760174,0.248450989,2.238067719,0.0091392,0.138250917,0.161093847,0.096107902,1.004142142,0.800064447,0.457368788,0.474769507,0.731503242,0.539906584,0.098762807,0.477574474,0.339952212,0.845181902,0.018948005,0.485540082
Asparagine,0.021532588,0.005646374,0.006368885,0.002986078,9.05E-04,0.002690471,0.003244155,0.024657484,0.003366266,0.01302493,8.49E-04,0.002123234,0.00139542,0.001527106,0.00260818,0.002265705,0.00416407,0.008623805,0.003869086,0.026155447,0.003997322,0.003738553,8.62E-04,0.002386922,0.001226814,0.008275568,0.001645292,0.007873863,0.002482702,0.00221047,0.003656314,0.001367262,0.004094576,0.001744912,0.002845549,0.026308629,0.002391574
Aspartate,0.281945456,0.106173384,0.181112468,0.116676989,0.062040345,0.11064369,0.068426945,0.278910989,0.149455524,0.107013144,0.057638976,0.09743114,0.040551685,0.155818456,0.228209226,0.129249298,0.081949316,0.073300032,0.20502448,0.546150829,0.101602931,0.227242187,0.090070264,0.109033315,0.149756489,0.062126216,0.193887214,0.200067537,0.127031003,0.143576628,0.173157905,0.036686311,0.171809165,0.125530954,0.100744705,0.09693015,0.067423259
Azelate,0.064238201,0.052977946,0.010242229,0.04567329,0.019725542,0.084989839,0.087861756,0.110992775,0.0667883,0.108954874,0.046031487,0.108769757,0.088648182,0.079516811,0.080134774,0.074810437,0.167413477,0.275430792,0.119277079,0.081179769,0.213471442,0.056889535,0.046227451,0.032289821,0.034767518,0.118851654,0.067672283,0.14498497,0.077766547,0.164560375,0.081801305,0.085049946,0.089298693,0.09854942,0.212612391,0.043316385,0.070062016
Behenic acid,0.020364045,0.03868255,0.02695484,0.03877417,0.002070228,0.021242308,0.025145731,0.010631437,0.001531585,0.082742643,5.05E-04,0,0.00831862,0.00294605,0,0.002906783,0.014672282,0.053581101,0.010822589,0.001831783,0,0,0,0,0,0,0,0.02487716,0.015629525,0,0.010207804,0.014247476,0.00111881,0.027497661,0.104893734,0.009409052,0.008460793
Benzyl Alcohol,0.038698072,0.006920049,0.015990391,0.011058336,0,0,0.015001677,0.007942752,0,0.007940425,9.35E-04,0.049256388,0.003217321,0.008610941,0.013005312,0.026029675,0.086968709,0.019804905,0.00334902,0.002202118,0.110197704,0.043620664,0.027435866,0.001888204,0.005408205,6.33E-04,0.12136562,0.02330285,0.019623772,0.090043233,0.025221506,0.039012006,0.038787442,0.096641334,0.022554995,0.00141527,0.025411265
Beta-Alanine,0.294199969,0.475584708,0.959880103,0.537385919,0.612211233,1.174994822,0.359806922,0.713359175,0.45046949,0.212775802,0.596806082,0.445532454,0.628339021,0.731677815,0.452014115,0.562426128,0.553732045,0.276345272,0.556101279,0.997873711,0.501120375,0.262532363,1.564303048,0.632231973,0.78586236,0.53008362,0.493971189,0.41480311,0.260528188,0.324894226,0.616644576,0.763597678,0.448532783,0.370578537,0.328499528,0.217561591,0.250146285
Beta-hydroxyvaleric Acid,0.034242832,0.044659491,0.004117726,0.037400131,0.040086331,0.079968585,0.036397452,0.077189196,0.080150995,0.041611854,0.062407436,0.016201141,0.06750777,0.018670382,0.008720425,0.017035336,0.037670291,0.034338129,0.025911753,0.058770467,0.067250846,0.021105103,0.05806856,0.053128318,0.037690638,0.031692821,0.01048533,0.032270095,0.015403137,0.007992034,0.013074648,0.027921891,0.024250177,0.02120863,0.033294577,0.052835202,0.010179966
Betaine,4.560080971,0.49512474,2.911950439,1.920480514,0.614142499,0.533330983,1.470313238,0.755775126,0.241651972,0.647087706,0.190791391,0.916628246,1.781407969,0.365838908,3.477031655,2.042676491,5.643667621,3.090184725,1.71708465,1.380689713,0.136238971,4.581932754,0.355899635,0.971429445,0.161555414,0.564560603,0.783176544,4.931945863,0.62896815,6.339694768,1.104478951,0.115296122,2.481451151,0.56658702,0.419538071,1.950399678,0.046545139
Bilirubin,0,0,0.009594576,0,0.050727609,0.02326164,0,0.003068001,0,0,0,0.001808833,0,0.011717739,0,0,0,0,0,0,0,0.050315837,0,0,0,0.039714548,0.012181406,0,0,0,0,0,0,0,0,0,0
Biotin,0.00729663,0.003083948,0.004666937,0.005923158,0.001677607,0.004510787,0.003499852,0.004029931,0.008679242,0.019928947,0.006833277,0.009806143,0.003816682,0.004426626,0.003584737,0.011237562,0.033438396,0.013306183,0.00950634,0.00617718,0.016293571,0.003908458,0.006950817,0.004320658,0.006531943,0.003336074,0.006164848,0.013289862,0.005220743,0.008805207,0.005408654,0.011637585,0.00625555,0.006069505,0.017501561,0.004180573,0.007034606
Bis(2-Ethylhexyl)Phthalate,2.461447763,1.449960449,2.146766382,2.599438271,3.418340323,1.966658,0.992743465,3.971675407,2.341753608,1.527907488,8.234676248,1.154002094,9.926419637,9.488017198,8.755797894,5.727775295,0.821761471,0.072380112,4.414663661,9.902173914,0.551157985,2.996831693,2.979624852,6.422674015,3.213750228,2.723681689,14.81913568,0.727887183,1.408077085,2.23108489,13.9224642,3.576343556,4.582133465,5.604617549,1.455591054,0.01745765,3.826266949
Buthionine-sulfoximine,0.019604944,0.013971124,0.03388504,0.028951364,0.004693369,0.006993107,0.015880509,0.016637327,0.016694966,0.009248224,0.008399887,0.016232375,0.005872274,0.006669327,0.010993389,0.012691909,0.026218628,0.024699602,0.016270752,0.0165578,0.021683546,0.021715198,0.035474216,0.005958502,0.014288558,0.025856712,0.01194474,0.031131008,0.020352596,0.017945928,0.010670332,0.008853982,0.012452615,0.015135655,0.084582116,0.005064345,0.014791977
Butyric acid,4.346660645,7.565011037,3.655879383,3.207267121,1.782558259,2.395822775,3.485883305,7.095031795,7.702684408,9.759657135,1.996285151,3.542348201,3.145037333,12.07565825,11.37937632,1.314627944,2.247959064,6.567768701,6.19516337,6.20161923,1.648252039,3.21973653,5.131576135,0.92325939,5.197236697,2.999497557,2.406526306,8.299274418,7.344724852,7.92461846,8.139708399,2.374563244,11.1971853,4.103927604,1.281188439,0.509535516,2.179652758
Butyryl-carnitine,0.009692115,0.003215675,0.018089604,0.004018904,0.050528947,0.004024597,0.00797686,0.007398164,0.003165078,0.020698185,0.003733385,0.00498018,0.002804016,0.002584662,0.068027501,0.00681453,0.03480334,0.013189697,0.006737359,0.00328906,0.016460076,0.039055919,0.002233944,0.00235435,0.004469106,0.034015974,0.00742101,0.024925882,0.004357008,0.009466883,0.006138194,0.008429649,0.037921167,0.007188464,0.014203252,0.138212265,0.003832854
Caffeate,0.006705394,0.004166563,0.015627977,0.003153468,0.066110676,0.077453756,0.007991752,0.008932673,0.002421316,0.001654394,0.001237474,0.004992767,0.010438032,0.002042414,8.93E-04,0.001816148,0.001748081,0.008675337,0.004234687,0.001504655,0.003297603,8.94E-04,6.49E-04,0.007181258,5.44E-04,0.004781432,8.39E-04,0.004797097,0.001111583,0.005665737,9.88E-04,0.002943721,7.52E-04,9.47E-04,0.002435705,6.75E-04,0.003120678
Caffeine,0.006471117,0,0.009395897,0.00581014,0,0,0.008396045,0,0,0,0,0.007437163,0,0,0.006587095,0,0.008171746,0,0.005431958,0,0,0.005599115,0,0,0,0.02168717,0.008211481,0.015978247,0,0,0.004853063,0,0.005409738,0.008274109,0.00158164,0,0.007562522
Carnitine,0.076517407,0.069255466,0.156958477,0.069720794,0.322521375,0.470831258,4.662885974,0.443439487,0.313702976,0.042565169,0.253694571,0.244103331,0.319594806,0.137537827,0.18814619,0.218586363,0.339957304,0.075414713,0.256905583,0.075378062,0.182469052,0.844561659,0.170432139,0.792798824,0.104913647,0.495606637,0.114832263,0.08360677,0.094792099,0.097635535,0.143371459,0.576725673,0.3041397,0.126485738,0.114798209,1.481451121,0.135519037
Carnosine,0.002698754,0.004817162,0.014125734,0.001573809,0.014779009,0.001854002,0.029905212,0.061441267,8.70E-04,0.002347269,0.013249677,7.37E-04,0.002825853,0.001352144,0.008227359,6.89E-04,9.63E-04,0,0.001578478,0.01860377,0.002552529,0.044948971,0.001051869,0.025596556,4.91E-04,0,0.001507997,0.003412442,6.50E-04,0.001203971,0.001449802,0.00208108,0.002115182,0.001322611,0.001381062,0.008783016,0.004975139
CDP,0,0,0.001143764,0,0,7.98E-04,4.88E-04,0.001840121,0,0,0,0.00244134,0,0,0.001493775,0.001032026,0,0,0,9.53E-04,0,0,0,3.46E-04,0,0,0.005176913,0,0.001057879,0.003039622,0.00132738,0,5.27E-04,0,0,9.87E-04,5.87E-04
Cholate,0.044827623,0.050773559,0.695868287,0.618335743,5.523419957,5.499975762,0.055092318,0.736495148,0.539875648,2.309627599,8.525801166,0.030171733,5.180454693,1.481201431,1.454031419,0.376100908,0.041758439,0.046247481,0.357890593,1.528711901,0.189070823,2.823461265,2.420945193,3.994100403,1.86799232,3.120166999,0.7557337,0.098075673,0.163746522,0.038910672,2.376137098,0.174917038,0.222270098,7.932218279,0.024990597,0.349586188,0.249303237
Choline,0.25572749,1.632781549,0.51151527,0.489460861,3.321777037,0.483331203,0.729516031,0.481999443,0.374818125,0.056284098,1.045970241,0.147315778,0.417778604,1.43063833,0.313517839,0.420956979,0.747055882,0.16898753,0.388384457,0.349638615,0.233666998,1.394393589,1.891234108,0.718536655,0.991743234,1.960878431,0.221653739,0.449152656,0.109972564,0.686800267,1.162032445,0.151533925,0.320418518,0.327701682,0.193708494,1.870465265,0.31929538
Cinnamaldehyde,0.003320473,0.001423651,0.00137055,0.003020856,5.77E-04,0.002403945,0.00379214,0.001309793,0.002136453,0.002993443,0,0.002464376,0.001332497,0,0,0,0.002110926,0.003084752,0.001536053,0.003994559,0,0.00104297,0,0,6.56E-04,0.001191539,0.001464089,0.001881725,0,0.00304935,0,0,0.001474353,0,0.002520501,0,0.007772591
Cinnamate,0.002710747,0.001524235,0.011287398,0.001509159,0.007170159,0.004925837,0.002972964,0.003896829,0.001641723,0.002590732,0.007858555,0.001910663,0.002286062,0.00311816,0,0.001294022,0,0.002923346,0.002280164,0.002081999,0,9.95E-04,0.005386392,0.002083902,0.005114703,0,0.002031523,0.002031311,0.00304516,0.001095041,0,0.004384995,0.001433874,0.013689019,0.002419827,0.001431488,9.88E-04
cis-10-Nonadecenoic acid,0.019664703,0.026562278,0.028441672,0.034022609,0.027378226,0.03604932,0.006478337,0.008313072,0.024117496,0.050044892,5.07E-04,0.028228234,0.004215276,0.020562102,0.012350533,0.020861048,0.040411045,0.05596323,0.045443186,0.016111603,0.044605419,0.036841612,0.019416953,0.013014398,0.018438283,0.00484658,0.02257039,0.052025899,0.026206783,0.027105028,0.032072273,0.034693661,0.017269432,0.03492179,0.102369993,0.015228064,0.016926433
cis-11-Eicosenoic acid,0.050894456,0.063078322,0.122882394,0.098964328,0.025862677,0.06457517,0.041845426,0.015989249,0.057682864,0.074592537,0.014046404,0.1394393,0.045255439,0.035341505,0.025036649,0.063305858,0.041965821,0.176073448,0.086788242,0.025932719,0.17521744,0.023534975,0.034704444,0.03593086,0.027067859,0.033839475,0.059772283,0.066350866,0.048060828,0.13663908,0.037433035,0.102304616,0.060459751,0.138495711,0.158982387,0.019474696,0.054823822
Cis-4-Hydroxy-D-Proline,0.084581403,0.049332694,0.172234114,0.067457328,0.056621894,0.406925961,0.076047959,0.25560481,0.051522616,0.042097034,0.496991824,0.175988767,0.047441397,0.033044509,0.064582242,0.025167099,0.027516187,0.024038325,0.052797729,0.109896556,0.015790008,0.082590521,0.043958816,0.077549381,0.018812414,0.067283104,0.018399079,0.027252483,0.024493707,0.045281367,0.020700407,0.03375537,0.215322078,0.217984207,0.024838521,0.167125646,0.023749455
cis-5-Dodecenoic acid,0.021733982,0.02455802,0.004368989,0.039926591,0.008443032,0.036062721,0.020623537,0.021256275,0.0200464,0.051812324,0.013561859,1.51E-04,0.016698352,0.018381878,0.012340315,0.016554555,0.049463457,0.058276993,0.025043277,0.009934705,0,0.013798001,0.023948671,0.014280972,0.009800576,0.028292703,0.001179225,0.024991704,0.022540594,2.36E-04,0.018981163,0.025996331,0.016020696,0.017374446,0.03368826,0.029725718,0.003048717
cis-7-10-13-16-Docosatetraenoic acid,0,0.007996939,0.018083625,0.025328761,0.029466397,0.024714955,0,0.013092427,0.076430156,0,0.015605515,0,0.03210903,0.056328255,0.002076063,0.024923045,0.007380091,0.034016173,0.014946025,0.018544191,0,0.097259438,0.022427393,0.078382304,0.035544918,0,0.010741981,0.04636054,0,0.001846102,0.028219435,0.032596509,0.002823823,0.158008212,0.013260228,0,0.005458269
cis-aconitate,0.001992395,0.001054582,8.17E-04,0.002126018,0.004247956,0.001288766,9.59E-04,0.001341224,0.001062797,0.002921719,5.23E-04,7.79E-04,9.26E-04,5.86E-04,6.58E-04,5.80E-04,0.00130958,0.003870121,7.56E-04,5.64E-04,0.001284276,6.65E-04,5.34E-04,0.001231752,3.06E-04,0.002192154,3.32E-04,0.002989799,0.001140976,8.28E-04,2.84E-04,0.001245331,7.49E-04,0.001058974,0.002987315,0.003150142,4.96E-04
Citramalate,0.147859809,0.040374398,0.098205679,0.189137556,0.085037872,0.173887957,0.383559975,0.090021134,0.316875974,0.424705649,0.121570129,0.124948063,0.214123892,0.056614348,0.091444706,0.082157448,0.121468924,0.125260806,0.153081977,0.169838484,0.376862917,0.265009084,0.139562646,0.327154958,0.173934967,0.102111427,0.123048691,0.100929525,0.210195592,0.124549175,0.049642388,0.077226888,0.149464921,0.060296361,0.143543071,0.16972696,0.085034135
Citrate,0.089143535,0.055777797,0.122121398,0.309768723,0.021159997,0.049497449,0.082575395,0.042928158,0.106292765,0.173956247,0.024963334,0.031227048,0.022348703,0.06547329,0.021186751,0.096035947,0.019866386,0.009979119,0.03373297,0.018773909,0.029481374,0.009653609,0.05051234,0.268949474,0.049135544,0.646443439,0.01337174,0.034042457,0.043615584,0.02535453,0.011895215,0.024449297,0.031896394,0.039598572,0.037995234,1.486780082,0.031004122
Citrulline,1.273407947,0.630417586,2.539985967,1.9592781,0.986876783,0.683330322,0.985222682,0.628527273,1.616188246,0.294391095,0.800593524,1.106527325,0.65841908,1.148079824,1.00833918,1.566512038,1.120583824,1.477522726,1.439034011,0.793705177,1.300826364,1.164058592,0.498673326,3.351833002,1.187581139,1.542845008,1.256037853,1.605433412,1.193010556,0.857484356,1.400468347,0.583169535,1.861895077,1.436374661,1.361681954,0.3590638,1.000107016
